Final pids: 1357
epoll_ctl(5, EPOLL_CTL_MOD, 6, { events={ EPOLLIN | EPOLLPRI | EPOLLERR | EPOLLHUP | EPOLLONESHOT }, data={ u32: 4294967295, u64: 18446744073709551615 } }) = 0
epoll_ctl(5, EPOLL_CTL_MOD, 7, { events={ EPOLLIN | EPOLLPRI | EPOLLERR | EPOLLHUP | EPOLLONESHOT }, data={ u32: 4294967295, u64: 18446744073709551615 } }) = 0
epoll_ctl(4, EPOLL_CTL_MOD, 28, { events={ EPOLLIN | EPOLLOUT | EPOLLERR | EPOLLHUP }, data={ u32: 2426149280, u64: 108162587564448 } }) = 0
epoll_ctl(4, EPOLL_CTL_MOD, 28, { events={ EPOLLIN | EPOLLERR | EPOLLHUP }, data={ u32: 2426149280, u64: 108162587564448 } }) = 0
epoll_ctl(4, EPOLL_CTL_MOD, 28, { events={ EPOLLIN | EPOLLOUT | EPOLLERR | EPOLLHUP }, data={ u32: 2426149280, u64: 108162587564448 } }) = 0
epoll_ctl(4, EPOLL_CTL_MOD, 28, { events={ EPOLLIN | EPOLLERR | EPOLLHUP }, data={ u32: 2426149280, u64: 108162587564448 } }) = 0
epoll_ctl(4, EPOLL_CTL_MOD, 28, { events={ EPOLLIN | EPOLLOUT | EPOLLERR | EPOLLHUP }, data={ u32: 2426149280, u64: 108162587564448 } }) = 0
epoll_ctl(4, EPOLL_CTL_MOD, 28, { events={ EPOLLIN | EPOLLERR | EPOLLHUP }, data={ u32: 2426149280, u64: 108162587564448 } }) = 0
epoll_ctl(4, EPOLL_CTL_MOD, 28, { events={ EPOLLIN | EPOLLOUT | EPOLLERR | EPOLLHUP }, data={ u32: 2426149280, u64: 108162587564448 } }) = 0
epoll_ctl(4, EPOLL_CTL_MOD, 28, { events={ EPOLLIN | EPOLLERR | EPOLLHUP }, data={ u32: 2426149280, u64: 108162587564448 } }) = 0
